participant,signals,variables
011,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
012,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
013,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
014,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
015,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
016,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
017,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
018,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
019,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
020,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
021,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
022,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
023,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
024,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
025,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
026,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
027,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
028,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
029,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
030,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
031,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
032,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
033,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
034,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
035,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
036,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
037,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
038,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
039,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
040,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
041,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
042,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
043,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
044,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
045,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
